"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,249,"VEN","Venezuela",1,"Amazonas","",NA,"","Estado","State","",""
2,249,"VEN","Venezuela",2,"Anzoátegui","",NA,"","Estado","State","",""
3,249,"VEN","Venezuela",3,"Apure","",NA,"","Estado","State","",""
4,249,"VEN","Venezuela",4,"Aragua","",NA,"","Estado","State","",""
5,249,"VEN","Venezuela",5,"Barinas","",NA,"","Estado","State","",""
6,249,"VEN","Venezuela",6,"Bolívar","",NA,"","Estado","State","",""
7,249,"VEN","Venezuela",7,"Carabobo","",NA,"","Estado","State","",""
8,249,"VEN","Venezuela",8,"Cojedes","",NA,"","Estado","State","",""
9,249,"VEN","Venezuela",9,"Delta Amacuro","",NA,"","Estado","State","",""
10,249,"VEN","Venezuela",10,"Dependencias Federales","VE.DP",NA,"","Estado","State","",""
11,249,"VEN","Venezuela",11,"Distrito Capital","",NA,"","Estado","State","",""
12,249,"VEN","Venezuela",12,"Falcón","",NA,"","Estado","State","",""
13,249,"VEN","Venezuela",13,"Guárico","",NA,"","Estado","State","",""
14,249,"VEN","Venezuela",14,"Lara","",NA,"","Estado","State","",""
15,249,"VEN","Venezuela",15,"Mérida","",NA,"","Estado","State","",""
16,249,"VEN","Venezuela",16,"Miranda","",NA,"","Estado","State","",""
17,249,"VEN","Venezuela",17,"Monagas","",NA,"","Estado","State","",""
18,249,"VEN","Venezuela",18,"Nueva Esparta","",NA,"","Estado","State","",""
19,249,"VEN","Venezuela",19,"Portuguesa","",NA,"","Estado","State","",""
20,249,"VEN","Venezuela",20,"Sucre","",NA,"","Estado","State","",""
21,249,"VEN","Venezuela",21,"Táchira","",NA,"","Estado","State","",""
22,249,"VEN","Venezuela",22,"Trujillo","",NA,"","Estado","State","",""
23,249,"VEN","Venezuela",23,"Vargas","",NA,"","Estado","State","",""
24,249,"VEN","Venezuela",24,"Yaracuy","",NA,"","Estado","State","",""
25,249,"VEN","Venezuela",25,"Zulia","",NA,"","Estado","State","",""
