"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,249,"VEN","Venezuela",1,"Amazonas",1,"Alto Orinoco","",NA,"","Municipio","Municipality","",""
2,249,"VEN","Venezuela",1,"Amazonas",2,"Atabapo","",NA,"","Municipio","Municipality","",""
3,249,"VEN","Venezuela",1,"Amazonas",3,"Atures","",NA,"","Municipio","Municipality","",""
4,249,"VEN","Venezuela",1,"Amazonas",4,"Autana","",NA,"","Municipio","Municipality","",""
5,249,"VEN","Venezuela",1,"Amazonas",5,"Manapiare","",NA,"","Municipio","Municipality","",""
6,249,"VEN","Venezuela",1,"Amazonas",6,"Maroa","",NA,"","Municipio","Municipality","",""
7,249,"VEN","Venezuela",1,"Amazonas",7,"Río Negro","",NA,"","Municipio","Municipality","",""
8,249,"VEN","Venezuela",2,"Anzoátegui",8,"Anaco","",NA,"","Municipio","Municipality","",""
9,249,"VEN","Venezuela",2,"Anzoátegui",9,"Aragua","",NA,"","Municipio","Municipality","",""
10,249,"VEN","Venezuela",2,"Anzoátegui",10,"Bolívar","",NA,"","Municipio","Municipality","",""
11,249,"VEN","Venezuela",2,"Anzoátegui",11,"Bruzual","",NA,"","Municipio","Municipality","",""
12,249,"VEN","Venezuela",2,"Anzoátegui",12,"Cajigal","",NA,"","Municipio","Municipality","",""
13,249,"VEN","Venezuela",2,"Anzoátegui",13,"Carvajal","",NA,"","Municipio","Municipality","",""
14,249,"VEN","Venezuela",2,"Anzoátegui",14,"Fernando de Peñalver","",NA,"","Municipio","Municipality","",""
15,249,"VEN","Venezuela",2,"Anzoátegui",15,"Freites","",NA,"","Municipio","Municipality","",""
16,249,"VEN","Venezuela",2,"Anzoátegui",16,"General Sir Arthur McGregor
","",NA,"","Municipio","Municipality","",""
17,249,"VEN","Venezuela",2,"Anzoátegui",17,"Guanipa","",NA,"","Municipio","Municipality","",""
18,249,"VEN","Venezuela",2,"Anzoátegui",18,"Guanta","",NA,"","Municipio","Municipality","",""
19,249,"VEN","Venezuela",2,"Anzoátegui",19,"Independencia","",NA,"","Municipio","Municipality","",""
20,249,"VEN","Venezuela",2,"Anzoátegui",20,"Isla","",NA,"","Municipio","Municipality","",""
21,249,"VEN","Venezuela",2,"Anzoátegui",21,"Libertad","",NA,"","Municipio","Municipality","",""
22,249,"VEN","Venezuela",2,"Anzoátegui",22,"Lic. Diego Bautista Urban","",NA,"","Municipio","Municipality","",""
23,249,"VEN","Venezuela",2,"Anzoátegui",23,"Miranda","",NA,"","Municipio","Municipality","",""
24,249,"VEN","Venezuela",2,"Anzoátegui",24,"Monagas","",NA,"","Municipio","Municipality","",""
25,249,"VEN","Venezuela",2,"Anzoátegui",25,"Píritu","",NA,"","Municipio","Municipality","",""
26,249,"VEN","Venezuela",2,"Anzoátegui",26,"San Juan de Capistrano","",NA,"","Municipio","Municipality","",""
27,249,"VEN","Venezuela",2,"Anzoátegui",27,"Santa Ana","",NA,"","Municipio","Municipality","",""
28,249,"VEN","Venezuela",2,"Anzoátegui",28,"Simón Rodríguez","",NA,"","Municipio","Municipality","",""
29,249,"VEN","Venezuela",2,"Anzoátegui",29,"Sotillo","",NA,"","Municipio","Municipality","",""
30,249,"VEN","Venezuela",3,"Apure",30,"Achaguas","",NA,"","Municipio","Municipality","",""
31,249,"VEN","Venezuela",3,"Apure",31,"Biruaca","",NA,"","Municipio","Municipality","",""
32,249,"VEN","Venezuela",3,"Apure",32,"Muñoz","",NA,"","Municipio","Municipality","",""
33,249,"VEN","Venezuela",3,"Apure",33,"Páez","",NA,"","Municipio","Municipality","",""
34,249,"VEN","Venezuela",3,"Apure",34,"Pedro Camejo","",NA,"","Municipio","Municipality","",""
35,249,"VEN","Venezuela",3,"Apure",35,"Rómulo Gallegos","",NA,"","Municipio","Municipality","",""
36,249,"VEN","Venezuela",3,"Apure",36,"San Fernando","",NA,"","Municipio","Municipality","",""
37,249,"VEN","Venezuela",4,"Aragua",37,"Bolívar","",NA,"","Municipio","Municipality","",""
38,249,"VEN","Venezuela",4,"Aragua",38,"Camatagua","",NA,"","Municipio","Municipality","",""
39,249,"VEN","Venezuela",4,"Aragua",39,"Francisco Linares","",NA,"","Municipio","Municipality","",""
40,249,"VEN","Venezuela",4,"Aragua",40,"Girardot","",NA,"","Municipio","Municipality","",""
41,249,"VEN","Venezuela",4,"Aragua",41,"José Angel Lamas","",NA,"","Municipio","Municipality","",""
42,249,"VEN","Venezuela",4,"Aragua",42,"José Félix Ribas","",NA,"","Municipio","Municipality","",""
43,249,"VEN","Venezuela",4,"Aragua",43,"José R Revenga","",NA,"","Municipio","Municipality","",""
44,249,"VEN","Venezuela",4,"Aragua",44,"Libertador","",NA,"","Municipio","Municipality","",""
45,249,"VEN","Venezuela",4,"Aragua",45,"Mario Briceño Iragorry","",NA,"","Municipio","Municipality","",""
46,249,"VEN","Venezuela",4,"Aragua",46,"Ocumare de la Costa de Oro
","",NA,"","Municipio","Municipality","",""
47,249,"VEN","Venezuela",4,"Aragua",47,"San Casimiro","",NA,"","Municipio","Municipality","",""
48,249,"VEN","Venezuela",4,"Aragua",48,"San Sebastián","",NA,"","Municipio","Municipality","",""
49,249,"VEN","Venezuela",4,"Aragua",49,"Santiago Mariño","",NA,"","Municipio","Municipality","",""
50,249,"VEN","Venezuela",4,"Aragua",50,"Santos Michelena","",NA,"","Municipio","Municipality","",""
51,249,"VEN","Venezuela",4,"Aragua",51,"Sucre","",NA,"","Municipio","Municipality","",""
52,249,"VEN","Venezuela",4,"Aragua",52,"Tovar","",NA,"","Municipio","Municipality","",""
53,249,"VEN","Venezuela",4,"Aragua",53,"Urdaneta","",NA,"","Municipio","Municipality","",""
