ID,test_id,web100_log_entry_log_time,connection_spec_client_ip,connection_spec_server_ip,connection_spec_client_hostname,connection_spec_client_application,connection_spec_client_browser,connection_spec_client_os,connection_spec_client_geolocation_city,connection_spec_client_geolocation_latitude,connection_spec_client_geolocation_longitude,downloadThroughput
142007255074.94.73.12638.102.0.83,2015/01/01/20150101T00:35:30.256539000Z_74-94-73-126-Seattle.WA.comcastbusiness.net:1286.s2c_snaplog.gz,1420072550,74.94.73.126,38.102.0.83,74-94-73-126-Seattle.WA.comcastbusiness.net,,,,Seattle,47.6062011719,-122.3320999146,17.4519844345
142007491824.17.5.8538.102.0.109,2015/01/01/20150101T01:14:54.692746000Z_c-24-17-5-85.hsd1.wa.comcast.net:54768.s2c_snaplog.gz,1420074918,24.17.5.85,38.102.0.109,c-24-17-5-85.hsd1.wa.comcast.net,,BTWebClient/3410,Windows,Seattle,47.6062011719,-122.3320999146,114.6328017457
142007786424.18.157.4738.102.0.97,2015/01/01/20150101T02:04:00.144303000Z_c-24-18-157-47.hsd1.wa.comcast.net:52107.s2c_snaplog.gz,1420077864,24.18.157.47,38.102.0.97,c-24-18-157-47.hsd1.wa.comcast.net,,BTWebClient/342B,Windows,Seattle,47.6355018616,-122.3235015869,17.4974122853
1420083311174.61.224.34173.205.3.37,2015/01/01/20150101T03:34:37.548498000Z_c-174-61-224-34.hsd1.wa.comcast.net:51363.s2c_snaplog.gz,1420083311,174.61.224.34,173.205.3.37,c-174-61-224-34.hsd1.wa.comcast.net,,,,Seattle,47.6853981018,-122.2872009277,0.2214262588
142008638767.170.32.19838.102.0.109,2015/01/01/20150101T04:26:02.564208000Z_c-67-170-32-198.hsd1.wa.comcast.net:50613.s2c_snaplog.gz,1420086387,67.170.32.198,38.102.0.109,c-67-170-32-198.hsd1.wa.comcast.net,,BTWebClient/7920,Windows,Seattle,47.6355018616,-122.3235015869,71.0072346146
142008671667.171.2.22138.102.0.97,2015/01/01/20150101T04:31:35.608524000Z_c-67-171-2-221.hsd1.wa.comcast.net:50117.s2c_snaplog.gz,1420086716,67.171.2.221,38.102.0.97,c-67-171-2-221.hsd1.wa.comcast.net,,BTWebClient/3420,Windows,Seattle,47.6847000122,-122.384803772,148.4928162963
142008905998.247.101.13638.102.0.83,2015/01/01/20150101T05:10:45.312763000Z_c-98-247-101-136.hsd1.wa.comcast.net:55168.s2c_snaplog.gz,1420089059,98.247.101.136,38.102.0.83,,,,,Seattle,47.5760002136,-122.3994979858,55.071525907
142009217467.183.67.11173.205.3.11,2015/01/01/20150101T06:02:40.512713000Z_c-67-183-67-11.hsd1.wa.comcast.net:50930.s2c_snaplog.gz,1420092174,67.183.67.11,173.205.3.11,,,,,Seattle,47.6062011719,-122.3320999146,0.8894507451
142009355724.22.181.36173.205.3.24,2015/01/01/20150101T06:25:44.98854000Z_c-24-22-181-36.hsd1.wa.comcast.net:63153.s2c_snaplog.gz,1420093557,24.22.181.36,173.205.3.24,,,,,Seattle,47.6101989746,-122.3042984009,0.4535426568
142009600824.22.181.36173.205.3.24,2015/01/01/20150101T07:06:32.41551000Z_c-24-22-181-36.hsd1.wa.comcast.net:63315.s2c_snaplog.gz,1420096008,24.22.181.36,173.205.3.24,,,,,Seattle,47.6101989746,-122.3042984009,1.4024928192
