download_avg,download_count,download_median,geoid10,isp,rtt_avg,time_slice,upload_avg,upload_count,upload_median
20.2503515001,40,9,530330062001,comcast,86.68732268572029,1441065600,3.0773104976,38,4
13.5423887329,20,9.5,530330080012,"AS4323 tw telecom holdings, inc.",88.22912047302292,1406851200,7.5537986837,20,12.5
11.4446326924,4,11,530330079001,wave,45.68441486411536,1441065600,2.7402610952,4,4.5
20.8884134237,98,14,530330047004,comcast,27.900898577877292,1398902400,2.4410523223,100,4
3.6926905561,64,2,530330093003,comcast,129.157034358047,1404172800,0.6569444431,84,0
29.9215080098,28,35,530330082001,wave,18.817098184566113,1401580800,12.5572455895,28,23
2.8339592751,44,0.5,530330109001,"AS7385 Integra Telecom, Inc.",217.36691734866918,1414800000,0.3299377799,44,0
24.8230684165,110,23,530330031003,comcast,29.938064746370557,1433116800,3.1799922786,116,4
48.839669517,86,7,530330069004,centurylink,19.163608746653832,1433116800,57.1290818459,90,0
15.7178288724,6,12,530330082001,whidbey internet services,67.19106167710811,1433116800,0.622586313,8,0
9.4391286519,6,5,530330062001,centurylink,92.15800145997243,1406851200,0.3022953768,6,0
7.8539750251,132,5,530330081002,verizon,164.28812144815802,1398902400,1.7040577735,146,2
3.4493262391,44,1,530330111024,comcast,78.91269008026552,1388534400,2.1986345422,58,3
18.7226792965,22,13,530330062001,comcast,28.55847555007022,1401580800,2.8224088446,26,4
14.3782660879,12,15.5,530330079001,wave,50.814937397372745,1401580800,1.5780226011,12,4
19.945481871,178,17,530330041005,comcast,47.33410111296144,1417392000,3.9769864571,178,8
27.9412769973,32,27,530330082001,wave,12.493063680427879,1441065600,11.1169279723,36,10.5
26.7582407841,452,18,530330046001,comcast,99.12847642654731,1438387200,2.4605007217,488,4
6.3889235553,36,6,530330081002,centurylink,107.3710561479098,1422748800,0.7426002932,40,0
4.4433906588,84,2.5,530330041005,centurylink,102.82886674506406,1422748800,0.2879138691,88,0
29.8726250885,48,33,530330056001,comcast,56.18289917432259,1438387200,3.6756804414,52,7
16.2475981977,148,10,530330081002,comcast,116.16595994815165,1417392000,3.529952385,152,7
41.4941684355,34,12,530330066002,AS21525 Seattle Public Library,21.224634995507635,1404172800,18.775829111,42,12
157.8048530421,36,92,530330080012,AS11404 vanoppen.biz LLC,2.684707258627521,1422748800,81.2436524402,36,91.5
8.667618267,10,1,530330109001,comcast,61.19112944816916,1393632000,1.8339076138,16,2
2.9838947841,28,2,530330081002,AS36351 SoftLayer Technologies Inc.,142.59015025041737,1388534400,0.3445924074,32,0
45.507966545,18,25,530330067001,wave,23.703685708336227,1404172800,16.1840050328,18,22
8.8072878267,54,6,530330080012,comcast,89.17801529531005,1422748800,1.884423659,54,2
9.7981457229,2,9,530330066002,wave,135.56794507575756,1422748800,0.8013019268,2,1
3.8995600967,78,2,530330081002,AS26769 Bandcon,92.80264262449212,1393632000,0.2488666807,82,0
16.1386382918,194,15,530330031003,comcast,66.00023197715917,1414800000,4.2474194288,200,7
3.705120667,4,3.5,530330069004,centurylink,137.28867574257427,1414800000,0.3259698503,4,0
9.6703797061,84,9,530330079001,wave,59.29397158455568,1388534400,0.818113106,86,1
1.8003847555,32,1,530330093003,AS16586 CLEAR WIRELESS LLC,220.81952951620062,1393632000,0.2972379673,42,0
3.8088911926,2,3,530330031003,AS16586 CLEAR WIRELESS LLC,671.0529247910863,1427846400,0.3429010441,2,0
8.7774706531,86,0,530330062001,comcast,50.50521248411485,1388534400,3.4963099026,94,7
19.6726790476,62,17,530330111024,comcast,25.70900535877663,1401580800,4.2403773475,62,8
6.2667661081,10,7,530330007002,centurylink,156.99682280319536,1420070400,0.4221970402,10,0
8.8661044809,18,5,530330081002,AS36351 SoftLayer Technologies Inc.,66.3060371139055,1401580800,2.7479849279,18,3
1.4948976547,10,1,530330079001,AS18566 MegaPath Corporation,109.88470948012232,1433116800,0.1900685754,10,0
3.6666513974,42,2,530330081002,"AS4323 tw telecom holdings, inc.",113.80123071214324,1401580800,0.5491551904,42,0
3.7932575493,52,2.5,530330080012,centurylink,93.06668324329212,1417392000,0.3049853636,66,0
10.4008976156,66,8,530330079001,centurylink,72.36760305985477,1427846400,0.9196556975,68,0
29.0863163392,2,29,530330062001,AS11404 vanoppen.biz LLC,29.20522565320665,1401580800,36.5479517159,4,51.5
15.0769045169,36,12.5,530330097025,comcast,59.54157081071133,1420070400,1.940141772,44,3.5
18.0862705662,42,14,530330095002,wave,35.2605819129836,1393632000,1.0770121145,42,1
47.6295613587,30,30,530330082001,wave,20.66877749171641,1388534400,22.4536604775,30,61
9.3468601961,10,3,530330111024,comcast,156.6274394717535,1441065600,4.0834240649,10,8
4.2293854725,2,4,530330024002,"AS7385 Integra Telecom, Inc.",95.87563710499491,1420070400,0.68484495,2,1
4.3038436591,12,4,530330066002,AS16586 CLEAR WIRELESS LLC,294.666557089634,1398902400,0.3696413948,18,0
0.4465199777,2,0,530330081002,aerioconnect,174.43069306930693,1430438400,0.1302274762,4,0
0.0459763172,2,0,530330081002,AS18566 MegaPath Corporation,361.8965517241379,1425168000,0.2361947272,2,0
