id,survey_current_location,survey_normal_location,survey_normal_location_other,survey_location_performance,survey_applications,survey_other_software,survey_isp,survey_subscribe_download,survey_subscribe_upload,survey_bundle,survey_current_cost,survey_partner_org,actual_download,actual_upload,min_rtt,latitude,longitude,bigquery_key
,home,this_location,,normal,other,test,Port Networks,50,10,no,_41_to_60,,11,4,41,39,-77,
,other,other_location,,worse,other,test,test,,,dont-know,free,,6,4,17,39,-77,
,other,other_location,,worse,other-video-conferencing,test,Port Networks,50,10,no,_more_than_120,,20,4,16,39,-77,
,home,this_location,,normal,,test other software,my ISP,100,100,no,dont-know,,12,5,37,39,-77,
,home,other_location,,normal,zoom,,Google Fiber,1000 Mbps,1000 Mbps,yes,_81_to_100,,6,9,46,39,-95,
,home,this_location,,normal,skype,test,Port Networks,50,10,no,_41_to_60,,18,4,21,39,-77,
,home,this_location,,normal,skype,,,,,default,default,,193,6,73,41,-74,
,default,default,,normal,,,,,,default,default,,297,277,4,41,-74,
,home,this_location,,normal,hangouts-meet,,Ehiweb,1000 Mbps,100 Mbps,no,_41_to_60,,112,1,15,43,12,
,home,other_location,,normal,zoom,,,,,no,_41_to_60,,224,11,11,41,-74,
,default,other_location,,normal,,,,,,default,default,,212,19,7,,,
,default,other_location,,normal,,,,,,default,default,,212,19,7,,,
,default,other_location,,normal,school-specific,,,,,default,default,,212,19,7,,,
,default,default,,normal,other-video-conferencing,,,,,default,default,,172,18,10,,,
,home,other_location,,worse,school-specific,,Spectrum,,,no,_41_to_60,,104,11,15,41,-74,
,home,other_location,,normal,zoom,,Comcast,,,no,_61_to_80,,13,6,21,45,-93,
,home,other_location,,worse,zoom,,Cox Communications,150 Mbps,10 Mbps,no,_101_to_120,,21,7,15,35,-98,
,home,this_location,,normal,"skype,jitsi-meet,other",test other software,Port Networks,50,10,no,_41_to_60,,5,4,23,39,-77,
,home,this_location,home,normal,"hangouts-meet,zoom,blue-jeans",test,test,50,10,no,_41_to_60,,16,6,16,39,-77,
,home,this_location,,normal,zoom,,Nextech,100,20,no,_81_to_100,,109,110,24,39,-99,
,home,this_location,,normal,"hangouts-meet,zoom",,,400,20,no,_61_to_80,,399,16,12,41,-74,
,home,other_location,University of Oklahoma,worse,zoom,,,150 Mbps,10 Mbps,no,_101_to_120,,148,10,47,35,-98,
,home,this_location,,worse,"hangouts-meet,zoom,other-video-conferencing,school-specific",,ATT,50,5,yes,_41_to_60,,16,4,51,41,-82,
,home,other_location,,normal,zoom,,,,,default,default,,62,5,34,41,-78,
